x,y,z,delay,plr
0,0,0,0,2
1,0,0,0,2
2,0,0,0,0
3,0,0,1,2
4,0,0,0,2
5,0,0,1,1
6,0,0,1,1
7,0,0,1,0
8,0,0,0,3
9,0,0,0,3
0,1,0,0,0
1,1,0,1,2
2,1,0,1,3
3,1,0,1,0
4,1,0,1,0
5,1,0,0,0
6,1,0,0,3
7,1,0,0,1
8,1,0,1,0
9,1,0,1,3
0,2,0,0,1
1,2,0,0,1
2,2,0,1,1
3,2,0,0,1
4,2,0,0,3
5,2,0,0,1
6,2,0,0,2
7,2,0,1,2
8,2,0,1,3
9,2,0,0,1
0,3,0,1,0
1,3,0,1,0
2,3,0,0,3
3,3,0,1,0
4,3,0,1,2
5,3,0,0,2
6,3,0,1,2
7,3,0,0,0
8,3,0,1,0
9,3,0,0,0
0,4,0,0,3
1,4,0,1,1
2,4,0,1,2
3,4,0,1,2
4,4,0,0,2
5,4,0,1,0
6,4,0,1,0
7,4,0,0,0
8,4,0,0,3
9,4,0,0,0
0,5,0,1,2
1,5,0,1,2
2,5,0,1,3
3,5,0,1,1
4,5,0,1,1
5,5,0,1,1
6,5,0,0,3
7,5,0,0,1
8,5,0,0,2
9,5,0,0,2
0,6,0,0,0
1,6,0,0,1
2,6,0,1,0
3,6,0,1,2
4,6,0,0,3
5,6,0,1,0
6,6,0,1,0
7,6,0,1,2
8,6,0,1,3
9,6,0,1,1
0,7,0,1,1
1,7,0,1,1
2,7,0,0,1
3,7,0,0,0
4,7,0,0,0
5,7,0,1,3
6,7,0,0,2
7,7,0,0,1
8,7,0,1,1
9,7,0,0,0
0,8,0,0,3
1,8,0,0,1
2,8,0,0,2
3,8,0,0,2
4,8,0,0,0
5,8,0,0,1
6,8,0,1,0
7,8,0,1,0
8,8,0,0,3
9,8,0,0,2
0,9,0,0,2
1,9,0,1,3
2,9,0,0,1
3,9,0,1,1
4,9,0,1,2
5,9,0,1,0
6,9,0,0,3
7,9,0,0,0
8,9,0,0,2
9,9,0,1,2
0,10,0,1,3
1,10,0,0,1
2,10,0,1,2
3,10,0,1,0
4,10,0,0,1
5,10,0,0,0
6,10,0,0,0
7,10,0,1,3
8,10,0,0,0
9,10,0,0,1
0,11,0,1,0
1,11,0,0,1
2,11,0,0,3
3,11,0,1,0
4,11,0,1,2
5,11,0,1,3
6,11,0,0,2
7,11,0,0,0
8,11,0,1,1
9,11,0,1,2
0,12,0,0,0
1,12,0,0,3
2,12,0,0,2
3,12,0,0,2
4,12,0,0,0
5,12,0,0,0
6,12,0,1,0
7,12,0,0,0
8,12,0,0,1
9,12,0,0,0
0,13,0,0,0
1,13,0,0,2
2,13,0,0,0
3,13,0,0,0
4,13,0,1,0
5,13,0,0,0
6,13,0,0,1
7,13,0,0,0
8,13,0,0,0
9,13,0,0,2
0,14,0,0,0
1,14,0,0,0
2,14,0,1,0
3,14,0,0,0
4,14,0,0,1
5,14,0,0,0
6,14,0,0,0
7,14,0,0,2
8,14,0,0,0
9,14,0,0,0
0,15,0,1,0
1,15,0,0,0
2,15,0,0,1
3,15,0,0,0
4,15,0,0,0
5,15,0,0,2
6,15,0,0,0
7,15,0,0,0
8,15,0,1,0
9,15,0,0,0
0,16,0,0,1
1,16,0,0,0
2,16,0,0,0
3,16,0,0,2
4,16,0,0,0
5,16,0,0,0
6,16,0,1,0
7,16,0,0,0
8,16,0,0,1
9,16,0,0,0
0,17,0,0,0
1,17,0,0,2
2,17,0,0,0
3,17,0,0,0
4,17,0,1,0
5,17,0,0,0
6,17,0,0,1
7,17,0,0,0
8,17,0,0,0
9,17,0,0,2
0,18,0,0,0
1,18,0,0,0
2,18,0,1,0
3,18,0,0,0
4,18,0,0,2
5,18,0,1,1
6,18,0,0,0
7,18,0,1,2
8,18,0,1,0
9,18,0,0,1
0,19,0,1,0
1,19,0,1,1
2,19,0,0,1
3,19,0,0,0
4,19,0,0,0
5,19,0,1,2
6,19,0,0,1
7,19,0,1,1
8,19,0,1,1
9,19,0,0,0
0,20,0,0,3
1,20,0,0,2
2,20,0,0,2
3,20,0,1,3
4,20,0,0,0
5,20,0,0,0
6,20,0,1,0
7,20,0,0,0
8,20,0,0,3
9,20,0,1,0
0,21,0,1,0
1,21,0,1,2
2,21,0,0,2
3,21,0,1,1
4,21,0,1,0
5,21,0,0,3
6,21,0,0,3
7,21,0,0,3
8,21,0,1,2
9,21,0,1,3
0,22,0,0,1
1,22,0,0,1
2,22,0,1,0
3,22,0,1,0
4,22,0,0,3
5,22,0,1,0
6,22,0,1,2
7,22,0,0,2
8,22,0,0,0
9,22,0,0,1
0,23,0,1,1
1,23,0,0,1
2,23,0,0,3
3,23,0,0,3
4,23,0,0,2
5,23,0,1,3
6,23,0,0,0
7,23,0,0,1
8,23,0,1,1
9,23,0,1,3
0,24,0,0,3
1,24,0,1,0
2,24,0,1,0
3,24,0,1,3
4,24,0,0,2
5,24,0,0,1
6,24,0,1,0
7,24,0,0,1
8,24,0,0,3
9,24,0,0,3
0,25,0,1,0
1,25,0,1,3
2,25,0,0,2
3,25,0,0,0
4,25,0,1,0
5,25,0,0,0
6,25,0,0,3
7,25,0,0,2
8,25,0,0,2
9,25,0,1,2
0,26,0,1,3
1,26,0,0,1
2,26,0,1,0
3,26,0,1,2
4,26,0,0,3
5,26,0,0,3
6,26,0,1,2
7,26,0,1,3
8,26,0,0,1
9,26,0,0,1
0,27,0,1,1
1,27,0,1,1
2,27,0,0,3
3,27,0,0,0
4,27,0,0,2
5,27,0,1,3
6,27,0,0,2
7,27,0,0,1
8,27,0,1,1
9,27,0,0,1
0,28,0,0,3
1,28,0,0,3
2,28,0,1,2
3,28,0,1,2
4,28,0,1,3
5,28,0,0,0
6,28,0,1,0
7,28,0,0,0
8,28,0,0,3
9,28,0,0,0
0,29,0,0,2
1,29,0,1,2
2,29,0,0,1
3,29,0,0,1
4,29,0,1,1
5,29,0,1,3
6,29,0,0,3
7,29,0,1,1
8,29,0,0,2
9,29,0,1,3
0,30,0,0,2
1,30,0,0,0
2,30,0,1,0
3,30,0,0,0
4,30,0,0,3
5,30,0,1,1
6,30,0,0,0
7,30,0,1,2
8,30,0,1,0
9,30,0,0,1
0,31,0,1,0
1,31,0,1,1
2,31,0,0,1
3,31,0,0,0
4,31,0,0,0
5,31,0,1,3
6,31,0,0,2
7,31,0,0,1
8,31,0,1,1
9,31,0,0,1
0,32,0,0,3
1,32,0,0,3
2,32,0,0,2
3,32,0,1,2
4,32,0,0,2
5,32,0,1,0
6,32,0,1,0
7,32,0,0,0
8,32,0,0,3
9,32,0,0,3
0,33,0,1,2
1,33,0,1,2
2,33,0,0,3
3,33,0,0,0
4,33,0,1,0
5,33,0,0,0
6,33,0,0,3
7,33,0,0,3
8,33,0,1,2
9,33,0,1,3
0,34,0,0,2
1,34,0,1,1
2,34,0,1,2
3,34,0,0,2
4,34,0,0,1
5,34,0,0,0
6,34,0,0,0
7,34,0,1,3
8,34,0,0,0
9,34,0,0,1
0,35,0,1,1
1,35,0,1,0
2,35,0,0,3
3,35,0,0,0
4,35,0,0,2
5,35,0,1,2
6,35,0,1,3
7,35,0,0,1
8,35,0,1,0
9,35,0,1,1
0,36,0,0,3
1,36,0,1,1
2,36,0,0,0
3,36,0,0,2
4,36,0,1,3
5,36,0,0,0
6,36,0,0,1
7,36,0,1,1
8,36,0,0,0
9,36,0,0,3
0,37,0,0,2
1,37,0,0,2
2,37,0,0,0
3,37,0,0,0
4,37,0,1,0
5,37,0,0,0
6,37,0,0,1
7,37,0,0,0
8,37,0,0,0
9,37,0,0,2
0,38,0,0,0
1,38,0,0,0
2,38,0,1,0
3,38,0,0,0
4,38,0,0,1
5,38,0,0,0
6,38,0,0,0
7,38,0,0,2
8,38,0,0,0
9,38,0,0,0
0,39,0,1,0
1,39,0,0,0
2,39,0,0,1
3,39,0,0,0
4,39,0,0,0
5,39,0,0,2
6,39,0,0,0
7,39,0,0,0
8,39,0,1,0
9,39,0,0,0
0,40,0,0,1
1,40,0,0,0
2,40,0,0,0
3,40,0,0,2
4,40,0,0,0
5,40,0,0,0
6,40,0,1,0
7,40,0,0,0
8,40,0,0,1
9,40,0,0,0
0,41,0,0,0
1,41,0,0,2
2,41,0,0,0
3,41,0,0,0
4,41,0,1,0
5,41,0,0,0
6,41,0,0,1
7,41,0,0,0
8,41,0,0,0
9,41,0,0,2
0,42,0,0,0
1,42,0,0,0
2,42,0,1,0
3,42,0,0,0
4,42,0,0,1
5,42,0,0,0
6,42,0,0,0
7,42,0,0,2
8,42,0,0,0
9,42,0,0,0
0,43,0,1,0
1,43,0,0,0
2,43,0,0,1
3,43,0,0,0
4,43,0,0,0
5,43,0,0,2
6,43,0,0,0
7,43,0,0,0
8,43,0,1,0
9,43,0,0,0
0,44,0,0,1
1,44,0,0,0
2,44,0,0,0
3,44,0,0,2
4,44,0,0,0
5,44,0,0,0
6,44,0,1,0
7,44,0,0,0
8,44,0,0,1
9,44,0,0,0
0,45,0,0,0
1,45,0,0,2
2,45,0,0,0
3,45,0,0,0
4,45,0,1,0
5,45,0,0,0
6,45,0,0,1
7,45,0,0,0
8,45,0,0,0
9,45,0,0,2
0,46,0,0,0
1,46,0,0,0
2,46,0,1,0
3,46,0,0,0
4,46,0,0,1
5,46,0,0,0
6,46,0,0,0
7,46,0,0,2
8,46,0,0,0
9,46,0,0,0
0,47,0,1,0
1,47,0,0,0
2,47,0,0,1
3,47,0,0,0
4,47,0,0,0
5,47,0,0,2
6,47,0,0,0
7,47,0,0,0
8,47,0,1,0
9,47,0,0,0
0,48,0,0,1
1,48,0,0,0
2,48,0,0,0
3,48,0,0,2
4,48,0,0,0
5,48,0,0,0
6,48,0,1,0
7,48,0,0,0
8,48,0,0,1
9,48,0,0,0
0,49,0,0,0
1,49,0,0,2
2,49,0,0,0
3,49,0,0,0
4,49,0,1,0
5,49,0,0,0
6,49,0,0,1
7,49,0,0,0
8,49,0,0,0
9,49,0,0,2
0,50,0,0,0
1,50,0,0,0
2,50,0,1,0
3,50,0,0,0
4,50,0,0,1
5,50,0,0,0
6,50,0,0,0
7,50,0,0,2
8,50,0,0,0
9,50,0,0,0
0,51,0,1,0
1,51,0,0,0
2,51,0,0,1
3,51,0,0,0
4,51,0,0,0
5,51,0,0,2
6,51,0,0,0
7,51,0,0,0
8,51,0,1,0
9,51,0,0,0
0,52,0,0,1
1,52,0,0,0
2,52,0,0,0
3,52,0,0,2
4,52,0,0,0
5,52,0,0,0
6,52,0,1,0
7,52,0,0,0
8,52,0,0,1
9,52,0,0,0
0,53,0,0,0
1,53,0,0,2
2,53,0,0,0
3,53,0,0,0
4,53,0,1,0
5,53,0,0,0
6,53,0,0,1
7,53,0,0,0
8,53,0,0,0
9,53,0,0,2
0,54,0,0,0
1,54,0,0,0
2,54,0,1,0
3,54,0,0,0
4,54,0,0,1
5,54,0,0,0
6,54,0,0,0
7,54,0,0,2
8,54,0,0,0
9,54,0,0,0
0,55,0,1,0
1,55,0,0,0
2,55,0,1,1
3,55,0,0,0
4,55,0,0,3
5,55,0,0,2
6,55,0,1,1
7,55,0,0,2
8,55,0,1,0
9,55,0,0,1
0,56,0,1,1
1,56,0,0,2
2,56,0,1,0
3,56,0,0,3
